# hsearch bench, Cortex-M85, I+D cache on, keys 4-19 chars
# columns: R,impl,op,n,total_cycles,ops,peak_alloc_bytes
R,llvm,insert,16,13882,16,336
R,llvm,find_hit,16,14135,16,0
R,llvm,find_miss,16,12593,16,0
R,llvm,insert_grow,16,35818,16,528
R,llvm+grp8,insert,16,13947,16,336
R,llvm+grp8,find_hit,16,14270,16,0
R,llvm+grp8,find_miss,16,12702,16,0
R,llvm+grp8,insert_grow,16,36189,16,528
R,llvm+mveGroup,insert,16,13854,16,344
R,llvm+mveGroup,find_hit,16,14122,16,0
R,llvm+mveGroup,find_miss,16,12747,16,0
R,llvm+mveGroup,insert_grow,16,27265,16,544
R,fnv1a/grp4,insert,16,4017,16,304
R,fnv1a/grp4,find_hit,16,4557,16,0
R,fnv1a/grp4,find_miss,16,3100,16,0
R,fnv1a/grp4,insert_grow,16,9715,16,464
R,fnv1a/grp8,insert,16,4269,16,312
R,fnv1a/grp8,find_hit,16,4624,16,0
R,fnv1a/grp8,find_miss,16,3238,16,0
R,fnv1a/grp8,insert_grow,16,10377,16,480
R,fnv1a/grp16mve,insert,16,4125,16,320
R,fnv1a/grp16mve,find_hit,16,4373,16,0
R,fnv1a/grp16mve,find_miss,16,3202,16,0
R,fnv1a/grp16mve,insert_grow,16,7928,16,496
R,llvm,insert,64,51695,64,1200
R,llvm,find_hit,64,53323,64,0
R,llvm,find_miss,64,48435,64,0
R,llvm,insert_grow,64,142229,64,1824
R,llvm+grp8,insert,64,52294,64,1200
R,llvm+grp8,find_hit,64,53496,64,0
R,llvm+grp8,find_miss,64,48964,64,0
R,llvm+grp8,insert_grow,64,143067,64,1824
R,llvm+mveGroup,insert,64,51762,64,1208
R,llvm+mveGroup,find_hit,64,52855,64,0
R,llvm+mveGroup,find_miss,64,48646,64,0
R,llvm+mveGroup,insert_grow,64,134864,64,1840
R,fnv1a/grp4,insert,64,15018,64,1168
R,fnv1a/grp4,find_hit,64,16914,64,0
