# cortex-m85 string bench; CPUID=0x411FD231 REPS=15
# columns: R,phase,func,impl,n,dst_off,src_off,min_cycles,median_cycles
# phase 0 CCR=0x00000201 overhead=69
R,0,memcpy,byte,1,0,0,86,86
R,0,memcpy,byte,1,1,1,86,86
R,0,memcpy,byte,1,1,3,86,86
R,0,memcpy,byte,2,0,0,126,126
R,0,memcpy,byte,2,1,1,126,126
R,0,memcpy,byte,2,1,3,126,126
R,0,memcpy,byte,3,0,0,136,136
R,0,memcpy,byte,3,1,1,136,136
R,0,memcpy,byte,3,1,3,133,136
R,0,memcpy,byte,4,0,0,127,127
R,0,memcpy,byte,4,1,1,123,127
R,0,memcpy,byte,4,1,3,127,127
R,0,memcpy,byte,7,0,0,170,172
R,0,memcpy,byte,7,1,1,170,171
R,0,memcpy,byte,7,1,3,171,171
R,0,memcpy,byte,8,0,0,169,174
R,0,memcpy,byte,8,1,1,169,179
R,0,memcpy,byte,8,1,3,169,172
R,0,memcpy,byte,15,0,0,250,260
R,0,memcpy,byte,15,1,1,251,270
R,0,memcpy,byte,15,1,3,251,270
R,0,memcpy,byte,16,0,0,249,269
R,0,memcpy,byte,16,1,1,250,270
R,0,memcpy,byte,16,1,3,250,270
R,0,memcpy,byte,17,0,0,252,282
R,0,memcpy,byte,17,1,1,251,271
R,0,memcpy,byte,17,1,3,251,274
R,0,memcpy,byte,31,0,0,407,430
R,0,memcpy,byte,31,1,1,411,455
R,0,memcpy,byte,31,1,3,407,455
R,0,memcpy,byte,32,0,0,409,448
R,0,memcpy,byte,32,1,1,412,462
R,0,memcpy,byte,32,1,3,412,462
R,0,memcpy,byte,33,0,0,414,464
R,0,memcpy,byte,33,1,1,411,463
R,0,memcpy,byte,33,1,3,411,459
R,0,memcpy,byte,63,0,0,731,814
R,0,memcpy,byte,63,1,1,774,817
R,0,memcpy,byte,63,1,3,750,832
R,0,memcpy,byte,64,0,0,729,837
R,0,memcpy,byte,64,1,1,745,839
R,0,memcpy,byte,64,1,3,735,845
R,0,memcpy,byte,65,0,0,761,847
R,0,memcpy,byte,65,1,1,731,826
R,0,memcpy,byte,65,1,3,733,844
R,0,memcpy,byte,100,0,0,1087,1212
R,0,memcpy,byte,100,1,1,1164,1238
R,0,memcpy,byte,100,1,3,1168,1279
R,0,memcpy,byte,128,0,0,1451,1541
R,0,memcpy,byte,128,1,1,1517,1558
R,0,memcpy,byte,128,1,3,1504,1567
R,0,memcpy,byte,255,0,0,2934,3001
R,0,memcpy,byte,255,1,1,2904,3004
R,0,memcpy,byte,255,1,3,2948,2990
R,0,memcpy,byte,256,0,0,2788,2990
R,0,memcpy,byte,256,1,1,2903,3060
R,0,memcpy,byte,256,1,3,2987,3063
R,0,memcpy,byte,512,0,0,5718,5905
R,0,memcpy,byte,512,1,1,5897,6039
R,0,memcpy,byte,512,1,3,5826,6018
R,0,memcpy,byte,1000,0,0,11231,11492
R,0,memcpy,byte,1000,1,1,11530,11692
R,0,memcpy,byte,1000,1,3,11594,11723
R,0,memcpy,byte,1024,0,0,11564,11756
R,0,memcpy,byte,1024,1,1,11741,11986
R,0,memcpy,byte,1024,1,3,11729,11971
R,0,memcpy,byte,4096,0,0,46471,46693
R,0,memcpy,byte,4096,1,1,47577,47691
R,0,memcpy,byte,4096,1,3,47347,47620
R,0,memcpy,byte,8192,0,0,93006,93323
R,0,memcpy,byte,8192,1,1,94942,95295
R,0,memcpy,byte,8192,1,3,94962,95205
R,0,memcpy,byte,16384,0,0,186335,186702
R,0,memcpy,byte,16384,1,1,190047,190458
R,0,memcpy,byte,16384,1,3,190005,190345
R,0,memcpy,autovec,1,0,0,84,84
R,0,memcpy,autovec,1,1,1,81,83
R,0,memcpy,autovec,1,1,3,83,83
R,0,memcpy,autovec,2,0,0,84,84
R,0,memcpy,autovec,2,1,1,83,89
R,0,memcpy,autovec,2,1,3,82,83
R,0,memcpy,autovec,3,0,0,84,84
R,0,memcpy,autovec,3,1,1,82,83
R,0,memcpy,autovec,3,1,3,82,83
R,0,memcpy,autovec,4,0,0,84,84
R,0,memcpy,autovec,4,1,1,83,83
R,0,memcpy,autovec,4,1,3,79,83
R,0,memcpy,autovec,7,0,0,84,84
R,0,memcpy,autovec,7,1,1,83,88
R,0,memcpy,autovec,7,1,3,89,90
R,0,memcpy,autovec,8,0,0,84,84
R,0,memcpy,autovec,8,1,1,86,90
R,0,memcpy,autovec,8,1,3,86,92
R,0,memcpy,autovec,15,0,0,85,89
R,0,memcpy,autovec,15,1,1,97,97
R,0,memcpy,autovec,15,1,3,98,98
R,0,memcpy,autovec,16,0,0,85,89
R,0,memcpy,autovec,16,1,1,98,99
R,0,memcpy,autovec,16,1,3,98,98
R,0,memcpy,autovec,17,0,0,104,104
R,0,memcpy,autovec,17,1,1,117,120
R,0,memcpy,autovec,17,1,3,117,117
R,0,memcpy,autovec,31,0,0,110,116
R,0,memcpy,autovec,31,1,1,131,138
R,0,memcpy,autovec,31,1,3,132,140
R,0,memcpy,autovec,32,0,0,110,118
R,0,memcpy,autovec,32,1,1,132,138
R,0,memcpy,autovec,32,1,3,128,132
R,0,memcpy,autovec,33,0,0,124,124
R,0,memcpy,autovec,33,1,1,151,159
R,0,memcpy,autovec,33,1,3,151,161
R,0,memcpy,autovec,63,0,0,152,162
R,0,memcpy,autovec,63,1,1,199,217
R,0,memcpy,autovec,63,1,3,200,227
R,0,memcpy,autovec,64,0,0,152,170
R,0,memcpy,autovec,64,1,1,200,227
R,0,memcpy,autovec,64,1,3,200,227
R,0,memcpy,autovec,65,0,0,165,184
R,0,memcpy,autovec,65,1,1,219,246
R,0,memcpy,autovec,65,1,3,219,246
R,0,memcpy,autovec,100,0,0,207,230
R,0,memcpy,autovec,100,1,1,287,324
R,0,memcpy,autovec,100,1,3,287,324
R,0,memcpy,autovec,128,0,0,236,259
R,0,memcpy,autovec,128,1,1,336,374
R,0,memcpy,autovec,128,1,3,336,374
R,0,memcpy,autovec,255,0,0,400,450
R,0,memcpy,autovec,255,1,1,607,700
R,0,memcpy,autovec,255,1,3,608,704
R,0,memcpy,autovec,256,0,0,404,450
R,0,memcpy,autovec,256,1,1,645,699
